ANO;LOCALIDAD_RESIDENCIA;GRUPOS_EDAD_QUINQUENIOS;SEXO;CASOS;MUERTES
2020;19 - Ciudad Bolívar;14. 60 a 64 años;M;658;49
2020;19 - Ciudad Bolívar;03. 5 a 9 años;M;341;
2020;19 - Ciudad Bolívar;09. 35 a 39 años;M;1597;7
2020;18 - Rafael Uribe Uribe;03. 5 a 9 años;F;210;
2020;18 - Rafael Uribe Uribe;02. 1 a 4 años;F;128;
2020;18 - Rafael Uribe Uribe;05. 15 a 19 años;M;463;
2021;05 - Usme;04. 10 a 14 años;F;608;
2021;07 - Bosa;16. 70 a 74 años;M;474;80
2021;11 - Suba;06. 20 a 24 años;M;6903;1
2021;11 - Suba;12. 50 a 54 años;M;4771;133
2021;11 - Suba;07. 25 a 29 años;M;8466;7
2021;11 - Suba;09. 35 a 39 años;M;7273;42
2021;11 - Suba;05. 15 a 19 años;F;4379;1
2021;03 - Santa Fe;15. 65 a 69 años;M;252;22
2021;08 - Kennedy;04. 10 a 14 años;F;2239;
2021;08 - Kennedy;07. 25 a 29 años;M;6736;23
2021;01 - Usaquén;11. 45 A 49 años;M;2724;44
2021;02 - Chapinero;06. 20 a 24 años;M;1180;
2021;09 - Fontibón;11. 45 A 49 años;M;1952;38
2021;09 - Fontibón;10. 40 a 44 años;M;2200;13
2021;09 - Fontibón;12. 50 a 54 años;M;1654;42
2021;10 - Engativá;10. 40 a 44 años;F;5497;20
2021;10 - Engativá;09. 35 a 39 años;M;5356;38
2021;10 - Engativá;09. 35 a 39 años;F;6164;8
2021;13 - Teusaquillo;10. 40 a 44 años;M;1343;4
2021;13 - Teusaquillo;12. 50 a 54 años;F;1045;6
2021;13 - Teusaquillo;15. 65 a 69 años;M;440;35
2021;13 - Teusaquillo;09. 35 a 39 años;F;1512;
2021;16 - Puente Aranda;08. 30 a 34 años;F;2039;2
2021;04 - San Cristóbal;09. 35 a 39 años;M;1666;11
2021;04 - San Cristóbal;07. 25 a 29 años;F;2330;2
2021;04 - San Cristóbal;10. 40 a 44 años;F;1714;9
2021;12 - Barrios Unidos;07. 25 a 29 años;M;1320;2
2021;15 - Antonio Nariño;12. 50 a 54 años;M;415;13
2021;15 - Antonio Nariño;11. 45 A 49 años;F;553;1
2021;15 - Antonio Nariño;16. 70 a 74 años;F;177;12
2021;19 - Ciudad Bolívar;12. 50 a 54 años;M;1668;64
2021;19 - Ciudad Bolívar;07. 25 a 29 años;F;3988;3
2021;19 - Ciudad Bolívar;14. 60 a 64 años;F;1368;67
2021;99 - Localidad Desconocida;06. 20 a 24 años;F;1043;2
2021;99 - Localidad Desconocida;11. 45 A 49 años;F;801;7
2021;99 - Localidad Desconocida;08. 30 a 34 años;M;1397;7
2021;18 - Rafael Uribe Uribe;08. 30 a 34 años;M;2334;9
2021;18 - Rafael Uribe Uribe;14. 60 a 64 años;F;1174;42
2021;11 - Suba;08. 30 a 34 años;M;7651;19
2021;03 - Santa Fe;05. 15 a 19 años;M;363;1
2021;08 - Kennedy;11. 45 A 49 años;M;4352;96
2021;01 - Usaquén;13. 55 a 59 años;F;2742;28
2021;04 - San Cristóbal;08. 30 a 34 años;M;1771;6
2021;18 - Rafael Uribe Uribe;12. 50 a 54 años;F;1931;21
2021;18 - Rafael Uribe Uribe;03. 5 a 9 años;M;430;
2022;05 - Usme;09. 35 a 39 años;M;362;
2022;07 - Bosa;05. 15 a 19 años;M;253;
2022;11 - Suba;18. 80 a 84 años;M;524;34
2022;11 - Suba;11. 45 A 49 años;F;2852;1
2022;11 - Suba;10. 40 a 44 años;F;3483;1
2022;11 - Suba;10. 40 a 44 años;M;2199;1
2022;08 - Kennedy;13. 55 a 59 años;F;1194;4
2022;01 - Usaquén;20. 90 a 94 años;M;153;27
2022;01 - Usaquén;07. 25 a 29 años;M;1506;
2022;01 - Usaquén;14. 60 a 64 años;M;1433;7
2022;01 - Usaquén;04. 10 a 14 años;F;598;
2022;01 - Usaquén;13. 55 a 59 años;M;1216;2
2022;02 - Chapinero;14. 60 a 64 años;F;736;
2022;10 - Engativá;09. 35 a 39 años;F;2080;
2022;10 - Engativá;07. 25 a 29 años;F;2134;
2022;10 - Engativá;17. 75 a 79 años;M;362;20
2022;22 - En Rev_Loc;06. 20 a 24 años;F;959;
2022;22 - En Rev_Loc;13. 55 a 59 años;F;916;
2022;22 - En Rev_Loc;08. 30 a 34 años;M;1426;
2022;22 - En Rev_Loc;18. 80 a 84 años;M;282;3
2022;13 - Teusaquillo;09. 35 a 39 años;F;880;
2022;13 - Teusaquillo;09. 35 a 39 años;M;607;
2022;14 - Los Mártires;13. 55 a 59 años;M;118;1
2023;11 - Suba;13. 55 a 59 años;F;77;
2023;01 - Usaquén;01. Menor de 1 año;F;43;
2023;02 - Chapinero;11. 45 A 49 años;F;29;
2023;19 - Ciudad Bolívar;04. 10 a 14 años;M;6;
2023;99 - Localidad Desconocida;12. 50 a 54 años;F;4;
2023;10 - Engativá;09. 35 a 39 años;F;47;
2023;22 - En Rev_Loc;10. 40 a 44 años;M;95;
2020;07 - Bosa;05. 15 a 19 años;F;1021;
2020;11 - Suba;17. 75 a 79 años;M;526;106
2020;11 - Suba;03. 5 a 9 años;F;789;
2020;03 - Santa Fe;14. 60 a 64 años;M;244;13
2020;08 - Kennedy;05. 15 a 19 años;M;1446;
2020;08 - Kennedy;11. 45 A 49 años;M;2422;46
2020;02 - Chapinero;04. 10 a 14 años;M;116;
